headliner,support,year,date,time,ticket_price,
Cashmere Cat (at 9:30 Club),"TEKLIFE: DJ Earl, Dirty Chocolate, Lean Quatifah",2017,Friday Feb 17,8:00 PM,"			 $22       ",
Mickey Avalon,,2017,Friday Feb 17,7:00 PM,"			 $20       ",
Max Graham (open to close),,2017,Thursday Feb 16,10:00 PM,"			 $15       ",
Georgetown Cabaret,,2017,Thursday Feb 16,6:00 PM,"			 $12       ",
Deep Sugar: Ultra NatÃ© & Lisa Moody,Katie Elder,2017,Saturday Feb 11,10:30 PM,"			 $10       ",
Book of Love,,2017,Saturday Feb 11,7:00 PM,"			 $25 - $50 VIP       ",
Savoy (live),"Puppet, Seba Yuri",2017,Friday Feb 10,10:00 PM,"			 $15       ",
Fox Stevenson,"Varien, Twine, 2rip",2017,Thursday Feb 9,10:30 PM,"			 $15       ",
Worthy + option4,zacheser,2017,Saturday Feb 4,10:30 PM,"			 $10       ",
Bear's Den,Gill Landry,2017,Saturday Feb 4,7:00 PM,"			 $20       ",
Young Art Sound ft. TOKiMONSTA & CRi,Woolymammoth,2017,Friday Feb 3,10:30 PM,"			 $20       ",
Escort,,2017,Friday Feb 3,7:00 PM,"			 $20       ",
Valentino Khan,Billy The Gent,2017,Thursday Feb 2,10:30 PM,"			 $12       ",
Isaiah Rashad,Jay IDK,2017,Thursday Feb 2,7:00 PM,"			 $15       ",
Moon Hooch,Honeycomb,2017,Wednesday Feb 1,7:00 PM,"			 $18       ",
Claptone,Matt Nordstrom,2017,Saturday Jan 28,10:30 PM,"			 $10 - $15       ",
Tim Presley & Cate Le Bon,,2017,Saturday Jan 28,7:00 PM,"			 $15       ",
Whethan: Savage Tour,"Party Pupils, Kwon",2017,Friday Jan 27,10:30 PM,"			 $10       ",
Basecamp,Lauv,2017,Friday Jan 27,7:00 PM,"			 $15       ",
Xilent & Far Too Loud,Exxsv,2017,Thursday Jan 26,10:00 PM,"			 $15.00 - $20.00       ",
Mobb Deep,"Marlon Craft, Ras Nebyu, DJ K-Meta, Sherif Mattar",2017,Wednesday Jan 25,8:00 PM,"			 $26 - 36       ",
Daybreaker DC: Dance Dance Resolution,DJ Tasha Blank,2017,Sunday Jan 22,10:00 AM,"			 $25 - $35       ",
Our DC ft. Eau Claire & Madame Gandhi,"Ayes Cold, Vanniety Kills, Jacq Jill",2017,Saturday Jan 21,9:00 PM,"			 $10       ",
Ben Nicky,Crazy 88s,2017,Friday Jan 20,10:00 PM,"			 $10 - $20       ",
DJ Sega,"Steven Faith, Mathias",2017,Thursday Jan 19,10:00 PM,"			 $10       ",
Plaid,Outputmessage,2017,Wednesday Jan 18,9:00 PM,"			 $15       ",
D.R.A.M.,"Ari Lennox, River Tiber",2017,Tuesday Jan 17,7:00 PM,"			 $20       ",
J.Phlip,Dansman,2017,Saturday Jan 14,10:00 PM,"			 $10       ",
Furball presents Honcho,Vicki Powell,2017,Friday Jan 13,10:00 PM,"			 $12       ",
ill.Gates & KJ Sawka,,2017,Thursday Jan 12,10:00 PM,"			 $20 - $25       ",
REV909: Daft Punk/French House Tribute & Indie Dance Classics,"Will Eastman, Ozker",2017,Saturday Jan 7,10:00 PM,"			 $10       ",
Rump Shaker,"Gent & Jawns, DJ Wonder, Sung",2017,Friday Jan 6,10:00 PM,"			 $10       ",
Glide,,2017,Wednesday Jan 4,9:00 PM,,
Nadastrom,"Eau Claire, Ken Lazee",2016,Saturday Dec 31,10:00 PM,"			 $10       ",
Friday Night Dance Party,"Jerome Baker III, Spinser Tracy",2016,Friday Dec 30,10:00 PM,"			 $10       ",
StÃ¶Ã¶ki Sound,"Imad Royal, Jett Chandon",2016,Thursday Dec 29,10:00 PM,"			 $12       ",
Juan Maclean (DJ Set),Trev-ski,2016,Friday Dec 23,10:00 PM,"			 $10       ",
Jubilee,"Gavin Holland, The Borrowers, DJ J Heat",2016,Thursday Dec 22,10:00 PM,"			 $5 - $10       ",
Holy Slizz Holiday Party,"Ari Lennox, Ras Nebyu, DJ K-Meta, Justin Rose, DJ Kidd Marvel, Farrah Flosscett, Shiva",2016,Sunday Dec 18,9:00 PM,"			 $15       ",
Nightmares on Wax (DJ Set),"Yola (Grand Ancestor), Christine Moritz",2016,Saturday Dec 17,10:00 PM,"			 $12       ",
Menno Solo (Menno de Jong open to close),,2016,Friday Dec 16,10:00 PM,"			 $15       ",
ATTLAS,Flash Frequency,2016,Thursday Dec 15,10:00 PM,"			 $10       ",
Diplo,MIXTAPE DJs (Shea Van Horn + Matt Bailer),2016,Monday Dec 12,10:00 PM,"			 $30       ",
Emancipator,"Tor, Edamame, Lapa",2016,Saturday Dec 10,10:00 PM,"			 $20       ",
Clozee & Psymbionic,,2016,Friday Dec 9,10:30 PM,"			 $15 - $20       ",
Dragonette,Gibbz,2016,Friday Dec 9,7:00 PM,"			 $20       ",
Anjunadeep North American Tour,"Gab Rhome, Theo Kottis, Yotto",2016,Thursday Dec 8,10:30 PM,"			 $20       ",
Jai Wolf (at 9:30 Club),"Jerry Folk, Chet Porter",2016,Thursday Dec 8,8:00 PM,"			 $25       ",
Futurebirds,Loamlands,2016,Thursday Dec 8,7:00 PM,"			 $20       ",
Cam'ron,"Jay IDK, Beau Young Prince, Innanet James, Ciscero, Matt McGhee, Siimba Lives Long, & Special Guests, Hosted by DJ Kidd Marvel",2016,Tuesday Dec 6,8:00 PM,"			 Limited tickets at the door       ",
Jody Wisternoff,Tony Smooth,2016,Saturday Dec 3,10:30 PM,"			 $10       ",
Lizzo,"DJ Sophia Eris, Dizzy Fae",2016,Saturday Dec 3,7:00 PM,"			 $15       ",
Breach,Alex Eljaiek,2016,Friday Dec 2,10:30 PM,"			 $15       ",
Ripe & Lawrence,,2016,Friday Dec 2,7:00 PM,"			 $15       ",
Space Jesus and Yheti,"Choppy Oppy, Sketchy Pete",2016,Thursday Dec 1,9:00 PM,"			 $15 - $20       ",
Roy Woods,,2016,Tuesday Nov 29,7:00 PM,"			 $20       ",
Sonny Fodera,"Walker & Royce, Chris Kennedy",2016,Saturday Nov 26,10:00 PM,"			 $12       ",
Drumstix 8,"Heist, Dara, AK1200, Evol Intent",2016,Friday Nov 25,10:00 PM,"			 $20.00       ",
Sweater Beats,"Bearson, Different Sleep",2016,Wednesday Nov 23,11:00 PM,"			 $20       ",
RDGLDGRN,,2016,Wednesday Nov 23,7:00 PM,"			 $20       ",
Dizzy Wright,"Audio Push, Demrick, Mark Battles, T Dubz",2016,Monday Nov 21,7:00 PM,"			 $25       ",
DZ Deathrays & Dune Rats,Polyon,2016,Sunday Nov 20,7:00 PM,"			 $15       ",
Pleasurekraft (open to close),,2016,Saturday Nov 19,10:30 PM,"			 $15       ",
Trevor Hall,Dustin Thomas,2016,Saturday Nov 19,6:30 PM,"			 $25       ",
Billy Kenny,"Maximono, Savage Patch",2016,Friday Nov 18,10:30 PM,"			 $10       ",
Kiiara,"Cruel Youth, Lil Aaron",2016,Friday Nov 18,7:00 PM,"			 $18       ",
Epilogue,"Loefah, Lefto",2016,Thursday Nov 17,10:30 PM,"			 $20       ",
The Paper Kites,Horse Thief,2016,Thursday Nov 17,7:00 PM,"			 $20       ",
CRX,"Streets of Laredo, The Gloomies",2016,Wednesday Nov 16,7:00 PM,"			 $15       ",
Nicolas Jaar (at 9:30 Club),,2016,Tuesday Nov 15,9:00 PM,"			 $25       ",
Alt Nation Advanced Placement Tour,"Night Riots, The Hunna, The Shelters",2016,Tuesday Nov 15,7:00 PM,"			 $15       ",
Swet Shop Boys,Mo,2016,Monday Nov 14,7:00 PM,"			 $20       ",
Kool Keith,"Kaze aka Black Kennedy, Bodega Brovas, Kosha Dillz",2016,Sunday Nov 13,7:00 PM,"			 $25       ",
Ekali,"Alexander Lewis, Lean Quatifah",2016,Saturday Nov 12,10:30 PM,"			 $12       ",
Benjamin Francis Leftwich,Brolly,2016,Saturday Nov 12,7:00 PM,"			 $16       ",
Louis The Child,"Quinn XCII, Pham",2016,Friday Nov 11,10:00 PM,"			 $15 - $20       ",
Louis The Child,Quinn XCII,2016,Friday Nov 11,6:30 PM,"			 $20       ",
Lane 8: This Never Happened Tour,Jus Nowhere,2016,Thursday Nov 10,10:30 PM,"			 $20       ",
TT The Artist,"Mighty Mark, TSU Dance Crew, Phizzals, DJ ManeSqueeze",2016,Thursday Nov 10,7:00 PM,"			 $15       ",
Machinedrum (live),Beautiful Swimmers,2016,Wednesday Nov 9,9:00 PM,"			 $12       ",
Calum Scott,James Tillman,2016,Tuesday Nov 8,7:00 PM,"			 $16       ",
Monarchy,Her,2016,Monday Nov 7,7:00 PM,"			 $18       ",
The Boxer Rebellion,Hey Anna,2016,Sunday Nov 6,7:00 PM,"			 $20       ",
Will Clarke,"Sage Armstrong, Ken Lazee",2016,Saturday Nov 5,10:30 PM,"			 $15       ",
Kero Kero Bonito,Stealf Soulja,2016,Saturday Nov 5,7:00 PM,"			 $15       ",
Tiger & Woods,"Jacques Renault, DJ Nav",2016,Friday Nov 4,10:30 PM,"			 $10       ",
Flock of Dimes,Harkin,2016,Friday Nov 4,7:00 PM,"			 $15       ",
Boys Noize,DJ Lisa Frank,2016,Thursday Nov 3,10:30 PM,"			 $30       ",
The Lacs,,2016,Thursday Nov 3,7:00 PM,"			 $20       ",
RÃœFÃœS DU SOL (at 9:30 Club),"The Kite String Tangle, Dena Amy",2016,Thursday Nov 3,7:00 PM,"			 $20       ",
Lemaitre,"Chet Porter, Coucheron",2016,Wednesday Nov 2,9:00 PM,"			 $12.00       ",
Mr Little Jeans,"TRACE, Color Palette",2016,Tuesday Nov 1,7:00 PM,"			 $18       ",
Morning Masquerade,FVDM,2016,Sunday Oct 30,11:00 AM,"			 $20 - $30       ",
U HELL ft. Willy Joy,"Jen Lasher, Ayes Cold",2016,Saturday Oct 29,11:00 PM,"			 $15       ",
Timeflies,Win and Woo,2016,Saturday Oct 29,7:00 PM,"			 $30       ",
Friday Night Dance Party,Jerome Baker III,2016,Friday Oct 28,10:30 PM,"			 $10       ",
S U R V I V E,,2016,Friday Oct 28,7:00 PM,"			 $15       ",
DJ EZ,"Tough Love, Mathias",2016,Thursday Oct 27,10:30 PM,"			 $10       ",
The Strumbellas,Foreign Air,2016,Thursday Oct 27,7:00 PM,"			 $20       ",
Cut Copy DJs,Ben Browning,2016,Wednesday Oct 26,10:30 PM,"			 $10 - $15       ",
Jamestown Revival,Jonny Fritz,2016,Wednesday Oct 26,7:00 PM,"			 $18       ",
Night Lovell,,2016,Tuesday Oct 25,7:00 PM,"			 $20       ",
Sampha,Kelsey Lu,2016,Monday Oct 24,7:00 PM,"			 $20       ",
Futuristic,"Beez, Shy Grey, Niko Kale",2016,Sunday Oct 23,7:00 PM,"			 $20       ",
Zimmer,"zacheser, Enamour",2016,Saturday Oct 22,10:30 PM,"			 $10       ",
Green River Ordinance,"The Roosevelts, Castro",2016,Saturday Oct 22,6:00 PM,"			 $16       ",
Tensnake,markintheDark,2016,Friday Oct 21,10:30 PM,"			 $15.00       ",
White Ford Bronco,,2016,Friday Oct 21,7:00 PM,"			 $22       ",
We Are Love,"Jahsonic, Baronhawk",2016,Thursday Oct 20,10:00 PM,,
KING,Nick Hakim,2016,Thursday Oct 20,7:00 PM,"			 $25       ",
Yolanda Be Cool & Bixel Boys,George Karmokolias,2016,Wednesday Oct 19,10:00 PM,"			 $12       ",
Jay IDK,"Big Flock, WillThaRapper, Innanet James, Nappy Nappa, Mista Selecta",2016,Tuesday Oct 18,7:00 PM,"			 $15       ",
Joseph,Ruston Kelly,2016,Sunday Oct 16,7:00 PM,"			 $20       ",
Feed Me Disco: Eau Claire & Cassian,Kids Want Techno,2016,Saturday Oct 15,10:00 PM,"			 $10       ",
Brodinski,Cos BV,2016,Friday Oct 14,10:00 PM,"			 $15       ",
Chrome Sparks,"Roland Tings, Lance Neptune",2016,Thursday Oct 13,10:00 PM,"			 $15       ",
Hayden James,"Dena Amy, Luke Million, BÃªte Noire",2016,Wednesday Oct 12,9:00 PM,"			 $15       ",
Flight Facilities (at 9:30 Club),"Cleopold, MartÃ_n Miguel",2016,Wednesday Oct 12,7:00 PM,"			 $25       ",
What So Not (at 9:30 Club),"Tunji Ige, Michael Christmas, Noah Breakfast",2016,Monday Oct 10,8:00 PM,"			 $20       ",
Skylar Grey,MORGXN,2016,Monday Oct 10,7:00 PM,"			 $20       ",
Timmy Regisford,"Teddy Douglas, Chris Burns",2016,Sunday Oct 9,6:00 PM,"			 $10 - $15       ",
Pantha du Prince (live),,2016,Saturday Oct 8,10:00 PM,"			 $15       ",
Beautiful Swimmers,"1432R DJs, TNX DJs",2016,Saturday Oct 8,10:00 PM,"			 $5       ",
Sean Tyas (open to close),,2016,Friday Oct 7,10:30 PM,"			 $15       ",
Neon Indian & Classixx (at 9:30 Club),"Alex Frankel, Harriet Brown",2016,Friday Oct 7,8:00 PM,"			 $30       ",
Finish Ticket,"Run River North, Irontom",2016,Friday Oct 7,6:40 PM,"			 $17       ",
Leon Vynehall & Jacques Greene (DJ Set),Taiga,2016,Thursday Oct 6,10:30 PM,"			 $10 - $15       ",
