"","artist","main_genre"
"203","Anti-Flag","Punk rock"
"204","Toad the Wet Sprocket","Alternative rock"
"205","The Soundtrack Of Our Lives","Alternative rock"
"206","Garage a Trois",NA
"207","Fischerspooner","Electronica"
"208","Grandaddy","Indie rock"
"209","The Dismemberment Plan","Indie rock"
"210","My Morning Jacket","Indie rock"
"211","Dimmu Borgir","Symphonic black metal"
"212","Alkaline Trio","Alternative rock"
"213","Martin Sexton","Americana"
"214","Goldfrapp","Electronic"
"215","Melvins","Doom metal"
"216","Electric Six","Alternative rock"
"217","The Human League","Synth-pop"
"218","Lacuna Coil","Gothic metal"
"219","Daniel Lanois","Rock"
"220","Dark Star Orchestra","Rock"
"221","Vince Gill","Country"
"222","Pat Green","Texas Country"
"223","Kings of Leon","Alternative rock"
"224","Delerium","Electronic"
"225","Death Cab for Cutie","Alternative rock"
"226","The Hives","Garage rock"
"227","Violent Femmes","folk punk"
"228","The Sounds","Indie rock"
"229","Super Furry Animals","Alternative rock"
"230","Taking Back Sunday","Alternative rock"
"231","Scissor Sisters","Pop rock"
"232","Jamie Cullum","Vocal jazz"
"233","Trashcan Sinatras","Alternative rock"
"234","Beastie Boys","Hip hop"
"235","Kasey Chambers","Country"
"236","Great Big Sea","Celtic rock"
"237","The Libertines","Indie rock"
"238","Lucinda Williams","Americana"
"239","The Stills","Indie rock"
"240","Camper Van Beethoven","Alternative rock"
"241","The Streets","Hip hop"
"242","Bebel Gilberto","Bossa nova"
"243","Finn Brothers","Rock"
"244","Gavin DeGraw","Blue-eyed soul"
"245","Josh Kelley","Pop rock"
"246","Talib Kweli","Hip hop"
"247","DJ Shadow","Hip hop"
"248","Blonde Redhead","Alternative rock"
"249","Umphrey's McGee","Rock"
"250","Fall Out Boy","Pop punk"
"251","Puddle of Mudd","Post-grunge"
"252","Donna the Buffalo","Zydeco"
"253","Arch Enemy","Melodic death metal"
"254","Slum Village","Hip hop"
"255","""Weird Al"" Yankovic","Parody"
"256","Mindy Smith","Folk"
"257","Trapt","Hard rock"
"258","Skinny Puppy","Industrial"
"259","The Haunted","Thrash metal"
"260","Arcade Fire","Indie rock"
"261","Kaiser Chiefs","Indie rock"
"262","Bloc Party","Indie rock"
"263","Hot Hot Heat","Alternative rock"
"264","The Futureheads","Post-punk revival"
"265","The Dresden Dolls","Dark cabaret"
"266","The Bravery","Post-punk revival"
"267","Broken Social Scene","Indie rock"
"268","Paul Westerberg","Alternative rock"
"269","Built to Spill","Indie rock"
"270","Something Corporate","Alternative rock"
"271","Slint","Post-rock"
"272","The Black Keys","Garage rock"
"273","Kasabian","Indie rock"
"274","Esthero","Electronica"
"275","LCD Soundsystem","Dance-punk]"
"276","Kraftwerk","Electronic"
"277","The Fiery Furnaces","Indie rock"
"278","Old Crow Medicine Show","Old-time"
"279","OK Go","Alternative rock"
"280","Rilo Kiley","Indie rock"
"281","Stellastarr","Indie rock"
"282","Razorlight","Indie rock"
"283","Puffy AmiYumi","Pop rock"
"284","Son Volt","Alternative country"
"285","Ryan Adams and the Cardinals","Alternative country"
"286","Eisley","Indie rock"
"287","The Get Up Kids","Emo"
"288","Nickel Creek","Progressive bluegrass"
"289","John Hiatt","Americana"
"290","Cowboy Junkies","Americana"
"291","Fatboy Slim","Big beat"
"292","The Pietasters","Ska"
"293","Matisyahu","Reggae"
"294","Handsome Boy Modeling School","Hip hop"
"295","Sufjan Stevens","Indie folk"
"296","Le Tigre","Electroclash"
"297","Hootie & the Blowfish","Blues rock"
"298","De La Soul","Hip hop"
"299","Canned Heat","Blues rock"
"300","Alter Bridge","Alternative metal"
"301","Rise Against","Melodic hardcore"
"302","State Radio","Alternative rock"
"303","The Dears","Indie rock"
"304","Hellogoodbye","Indie pop"
"305","Devo","New wave"
"306","MXPX","Christian punk"
"307","Terri Nunn","Rock"
"308","The Cat Empire","Ska"
"309","Tom Freund","Folk rock"
"310","Amon Amarth","Melodic death metal"
"311","Shinedown","Hard rock"
"312","The Decemberists","Indie rock"
"313","The Most Serene Republic","Indie rockBaroque popPost-rock"
"314","Keller Williams","One-man band"
"315","Front 242","EBM"
"316","2 Skinnee J's","Nerdcore hip hopRap rockAlternative rock"
"317","Arctic Monkeys","Indie rock"
"318","Thirty Seconds to Mars","Alternative rock"
"319","TV On the Radio","Indie rock"
"320","Ray Davies","Rock"
"321","The Warlocks","Psychedelic rock"
"322","The Walkmen","Indie rock"
"323","Regina Spektor","Anti-folk"
"324","Clap Your Hands Say Yeah","Indie rock"
"325","Yellowcard","Pop punk"
"326","The Rentals","New wave"
"327","Ray LaMontagne","Folk"
"328","Yeah Yeah Yeahs","Garage punk"
"329","Ghostface Killah","Hip hop"
"330","Greyboy Allstars","soul jazzacid jazz"
"331","Children of Bodom","Melodic death metal"
"332","MuteMath","Alternative rock"
"333","The English Beat","New wave"
"334","Motion City Soundtrack","Alternative rock"
"335","Robert Pollard","Indie rock"
"336","Rjd2","Hip hop"
"337","Toots & The Maytals","SkaRocksteadyReggae"
"338","Mason Jennings","Indie folk"
"339","Hoobastank","Post-grunge"
"340","Method Man","Hardcore hip hop"
"341","Lady Sovereign","Hip hop"
"342","Gogol Bordello","Gypsy punk"
"343","Hatebreed","Metalcore"
"344","Teddy Geiger","Alternative rock"
"345","The Concretes","Indie pop"
"346","These United States","Rock and roll"
"347","Grace Potter","Rock"
"348","Army of Freshmen","Power pop"
"349","Dr. Dog","Neo-psychedelia"
"350","The Veronicas","Pop"
"351","Wu-Tang Clan","Hip hop"
"352","The Cab","Alternative rock"
"353","Maylene & The Sons of Disaster","Sludge metal"
"354","P.O.D.","Christian metal"
"355","The Black Crowes","Southern rock"
"356","Virginia Coalition","Rock"
"357","Andrew Bird","Indie rock"
"358","Ben Gibbard","Alternative rock"
"359","Cat Power","Indie rock"
"360","Explosions in the Sky","Post-rock"
"361","The New Pornographers","Indie rock"
"362","Iron & Wine","Folk"
"363","The Books","Folktronica"
"364","Rodrigo y Gabriela","Acoustic"
"365","STS9","Livetronica"
"366","Klaxons","Indie rock"
"367","Emily Haines & The Soft Skeleton","Indie rock"
"368","Cold War Kids","Indie rock"
"369","The Format","Indie rock"
"370","Guster","Rock"
"371","Blaqk Audio","Synthpop"
"372","VNV Nation","Synthpop"
"373","Brandon Butler","Deathcore"
"374","Silversun Pickups","Alternative rock"
"375","Paolo Nutini","Pop rock"
"376","Cannibal Corpse","Death metal"
"377","Gym Class Heroes","Hip hop"
"378","DJ Krush","Instrumental hip hop"
"379","Band of Horses","Indie rock"
"380","Bone Thugs-n-Harmony","Midwest hip hop"
"381","Antibalas","Afrobeat"
"382","Hot Chip","Indietronica"
"383","Elvis Costello","New wave"
"384","Butch Walker","Glam metal]"
"385","David Crowder Band","Christian rock"
"386","Third Eye Blind","Alternative rock"
"387","Page McConnell","Alternative rock"
"388","Relient K","Alternative rock"
"389","Goapele","R&B"
"390","The Swell Season","Indie folk"
"391","EPMD","Hip hop"
"392","Matt Pond PA","Indie rock"
"393","The Weakerthans","Indie rock"
"394","Circa Survive","Indie rock"
"395","Against Me!","Punk rock"
"396","Sum 41","Punk rock"
"397","Cowboy Mouth","alternative rock"
"398","Zap Mama","World music"
"399","John Butler Trio","Alternative rock"
"400","The Wallflowers","Alternative rock"
"401","Josh Ritter","Folk"
"402","The Slackers","Ska"
"403","Elliott Yamin","Pop"
"404","Carbon Leaf","Americana"
"405","The Red Jumpsuit Apparatus","Post-hardcore"
"406","Ratatat","Experimental rock"
"407","The Apples In Stereo","Indie pop"
"408","Talkdemonic","Folktronica"
"409","Jonathan Richman","Rock"
"410","Xavier Rudd","Folk"
"411","The Fall of Troy","Mathcore"
"412","Paul van Dyk","Trance"
"413","Immortal Technique","East Coast hip hop"
"414","El-P","Hip hop"
"415","The Pipettes","Indie pop"
"416","of Montreal","Psychedelic"
"417","The Ting Tings","Indie pop"
"418","Colin Meloy","Indie rock"
"419","The Breeders","Alternative rock"
"420","DeVotchKa","Gypsy punk"
"421","Lupe Fiasco","Hip hop"
"422","The Mountain Goats","Indie folk"
"423","Anberlin","Alternative rock"
"424","Nick Cave and The Bad Seeds","Alternative rock"
"425","Nada Surf","Alternative rock"
"426","Boredoms","Experimental rock"
"427","Amanda Palmer","Alternative rock"
"428","Sondre Lerche","Pop"
"429","The Notwist","Indie rock"
"430","Jamie Lidell","Soul"
"431","Crowded House","Rock"
"432","Cute Is What We Aim For","Emo"
"433","Gnarls Barkley","Soul"
"434","Jack's Mannequin","Alternative rock"
"435","Kid Koala","Turntablism"
"436","Minus the Bear","Indie rock"
"437","Blind Melon","Alternative rock"
"438","Swervedriver","Alternative rock"
"439","Good Charlotte","Pop punk"
"440","Ghostland Observatory","Electronic rock"
"441","Saul Williams","{{ Hip hop"
"442","Chromeo","Electro funk"
"443","Slightly Stoopid","Psychedelic rock"
"444","Cobra Starship","Dance-pop"
"445","Mike Doughty's Band","Alternative rock"
"446","Kate Nash","Indie pop"
"447","Conor Oberst & The Mystic Valley Band","AmericanaAlternative Country"
"448","Rachael Yamagata","Adult alternativeIndie"
"449","She Wants Revenge","Post-punk revival"
"450","Angels And Airwaves","Alternative rock"
"451","Apocalyptica","Cello metal"
"452","The B-52's","New wave"
"453","Rhett Miller","Alternative countryRock"
"454","Amos Lee","Soul"
"455","Vampire Weekend","Indie pop"
"456","Dub Trio","Rock"
"457","Butthole Surfers","Experimental rock"
"458","Eagles of Death Metal","Hard rock"
"459","MSTRKRFT","Dance-punk"
"460","Tittsworth","House"
"461","The Kooks","Pop rock"
"462","Nick Cave","Post-punk"
"463","Deerhoof","Indie rock"
"464","Shiny Toy Guns","Indie rock"
"465","Del the Funky Homosapien","Hip hop"
"466","Carbon/Silicon","Punk rock"
"467","Pete Francis","Folk rock"
"468","BoDeans","Heartland rockAlternative rock"
"469","The Gutter Twins","Alternative rock"
"470","Beto Cuevas","Pop rock"
"471","SOJA","Reggae"
"472","Detroit Cobras","Garage rock"
"473","Midnight Juggernauts","Alternative dance"
"474","Alejandro Escovedo","Alternative rock"
"475","Brazilian Girls","Alternative dance"
"476","Boy George","New wave"
"477","Flobots","Alternative hip hop"
"478","Dawn Landes","Folk"
"479","Chuck Brown","Go-go"
"480","Hot Buttered Rum","Folk"
"481","Martha Wainwright","Folk"
"482","The Rocket Summer","Alternative rock"
"483","Donavon Frankenreiter","Soft rock"
"484","All Time Low","Pop punk]"
"485","Secret Machines","Alternative rock"
"486","Corb Lund","CountryFolkBluegrassIndieWestern"
"487","Vandaveer","Indie folk"
"488","The Briggs","Celtic punk"
"489","Johnathan Rice",NA
"490","Iced Earth","Heavy metal"
"491","Killswitch Engage","Metalcore"
"492","Nonpoint","Nu metal"
"493","Deal's Gone Bad","Reggae"
"494","Cut Copy","Synth-pop"
"495","Animal Collective","Experimental pop"
"496","Opeth","Progressive death metal"
"497","M. Ward","Indie folk"
"498","Bat For Lashes","Indie pop"
"499","Los Campesinos!","Twee pop (early)"
"500","Peter Bjorn and John","Indie pop"
"501","The Kills","Indie rock"
"502","Saosin","Post-hardcore"
"503","The Dead Weather","Blues rock"
"504","Them Crooked Vultures","Hard rock"
"505","Modest Mouse","Indie rock"
"506","Eye Alaska","Alternative rock"
"507","Ida Maria","Punk rock"
"508","Brendan Benson","Rock"
"509","Late of the Pier","Dance-punk"
"510","The Gaslight Anthem","Punk rock"
"511","Wolfmother","Hard rock"
"512","The Fray","Pop rock"
"513","Tindersticks","Indie rock"
"514","Lisa Hannigan","Indie folk"
"515","Raphael Saadiq","R&B"
"516","The Shins","Indie rock"
"517","Daniel Johnston","Rock"
"518","The Feelies","Post-punk"
"519","Devendra Banhart","Freak folk"
"520","Hank Williams III","Country"
"521","Dan Deacon","Electronic"
"522","The Brian Jonestown Massacre","Psychedelic rock"
"523","Jenny Lewis","Indie rock"
"524","Raekwon","Hip hop"
"525","Fujiya & Miyagi","Electronic music"
"526","3OH!3","Synth-pop"
"527","In Flames","Alternative metal"
"528","Simian Mobile Disco","Electronica"
"529","Jason Isbell","Americana"
"530","The Bad Plus","Jazz"
"531","Balkan Beat Box","Gypsy punk"
"532","The Infamous Stringdusters","Bluegrass"
"533","Pretty Lights","Electronica"
"534","Ingrid Michaelson","Folk-pop"
"535","The Prodigy","Techno"
"536","The Raveonettes","Indie rock"
"537","Dan Auerbach","Blues rock"
"538","Sunny Day Real Estate","Emo"
"539","Los Amigos Invisibles","Acid JazzDiscoFunk"
"540","Rob Zombie","Heavy metal]"
"541","Peanut Butter Wolf","Hip hop"
"542","Big Head Todd & The Monsters","Rock"
"543","Zac Brown Band","Country"
"544","Little Big Town","Country"
"545","Rodney Atkins","Country"
"546","Justin Nozuka","Folk"
"547","Ozomatli","Latin rock"
"548","Booka Shade","House"
"549","Bettye LaVette","Soul"
"550","Femi Kuti","Afrobeat"
"551","Bajofondo","Neotango"
"552","Blue October","Alternative rock"
"553","Ben Harper","Folk rock"
"554","Serena Ryder","Folk rock"
"555","El Perro del Mar","Indie pop"
"556","Ra Ra Riot","Indie rock"
"557","Mat Kearney","Rock"
"558","Modeselektor","Electronic"
"559","Ha Ha Tonka","Indie rockSouthern rock"
"560","Sharon Jones & The Dap-Kings","Funk"
"561","Switchfoot","Alternative rock"
"562","New York Dolls","Hard rock"
"563","Jeremy Fisher","folk rock"
"564","El Vez","Latin rock"
"565","Daryl Hall & John Oates","Pop rock"
"566","She & Him","Indie pop"
"567","Local Natives","Indie rock"
"568","The xx","Indie pop"
"569","Frightened Rabbit","Indie rock"
"570","The Tallest Man On Earth","Folk"
"571","Matt and Kim","Indie pop"
"572","Miike Snow","Indie rock"
"573","Deadmau5","Progressive house"
"574","Edward Sharpe & The Magnetic Zeros","Indie folk"
"575","Grinderman","Alternative rock"
"576","Kings of Convenience","Indie pop"
"577","Jakob Dylan","Rock"
"578","Robyn","Electropop"
"579","Four Tet","Electronica"
"580","Teenage Fanclub","Alternative rock"
"581","Marina and the Diamonds","Indie pop"
"582","Deerhunter","Indie rock"
"583","Menomena","Experimental rock"
"584","Ariel Pink's Haunted Graffiti","Hypnagogic pop"
"585","Ted Leo and The Pharmacists","Punk rock"
"586","Miyavi","Rock"
"587","Blitzen Trapper","Alternative country"
"588","Die Antwoord","Alternative hip hop"
"589","Peter Hook & The Light","Post-punk"
"590","Trombone Shorty & Orleans Avenue","Jazz"
"591","City and Colour","Folk"
"592","The Used","Emo"
"593","Big Boi","Hip hop"
"594","The Posies","Alternative rock"
"595","Tears For Fears","New wave"
"596","Dave Rawlings Machine","Bluegrass"
"597","Justin Townes Earle","Americana"
"598","The Sword","Heavy metal"
"599","Ezra Furman","Indie rock"
"600","Railroad Earth","Americana"
"601","Perpetual Groove","Rock"
"602","Needtobreathe","Christian rock"
"603","Steel Train","Indie rock"
"604","Wild Nothing","Indie rock"
"605","La Roux","Synthpop"
"606","Evelyn Evelyn","Baroque pop"
"607","Tinariwen","Tishoumaren"
"608","Seu Jorge","MPB"
"609","Southern Culture On The Skids","Alternative rock"
"610","Super Diamond",NA
"611","Suicidal Tendencies","Crossover thrash"
"612","Cage the Elephant","Alternative rock"
"613","The Cribs","Indie rock"
"614","Tea Leaf Green","Rock"
"615","Public Image Ltd.","Post-punk"
"616","Victor Wooten","jazz fusion"
"617","The Saw Doctors","Rock"
"618","K'naan","Alternative hip hop"
"619","Lissie","Country"
"620","Foster the People","Indie pop"
"621","Lykke Li","Indie pop"
"622","Bon Iver","Indie folk"
"623","Beach House","Dream pop"
"624","The Wombats","Indie rock"
"625","The Head and the Heart","Indie folk"
"626","Trampled by Turtles","Indie folk"
"627","The Naked and Famous","Indie electronic"
"628","Portugal. The Man","Alternative rock"
"629","Fitz & The Tantrums","Indie pop"
"630","OFWGKTA","Hip hop"
"631","Friendly Fires","Indie rock"
"632","Panic! At the Disco","Pop rock"
"633","The Airborne Toxic Event","Indie rock"
"634","Theophilus London","Hip hop"
"635","U.S. Royalty","Indie"
"636","My Chemical Romance","Alternative rock"
"637","Streetlight Manifesto","Ska punk"
"638","Mac Miller","Hip hop"
"639","Owl City","Electronica"
"640","The Cars","Rock"
"641","Beady Eye","Rock"
"642","Three Days Grace","Post-grunge"
"643","Wild Beasts","Indie rock"
"644","The Weepies","Indie"
"645","Joshua Radin","Acoustic"
"646","Shpongle","Psybient"
"647","Les Savy Fav","Indie rock"
"648","Volbeat","Heavy metal"
"649","Das Racist","Alternative hip hop"
"650","The Downtown Fiction","Alternative rock"
"651","The Go! Team","Indie rock"
"652","Yann Tiersen","Minimal"
"653","Orchestral Manoeuvres In The Dark","Electronic"
"654","Vieux Farka Toure","Blues"
"655","The Pharcyde","Alternative hip hop"
"656","The Dodos","Indie folk"
"657","Mates of State","Indie pop"
"658","Brantley Gilbert","Southern rock"
"659","B.o.B","Hip hop"
"660","David Wax Museum","Folk"
"661","Underoath","Christian metal"
"662","Paul Simon","Folk"
"663","The Twilight Singers","Indie rock"
"664","RX Bandits","Progressive rock"
"665","Marc Broussard","Soul"
"666","Robert Randolph & The Family Band","Funk"
"667","Scratch Acid","Post-hardcore"
"668","Jeff Beck","Blues rock"
"669","Blackfield","Art rock"
"670","Dirty Heads","Alternative hip hop"
"671","The Low Anthem","Indie folk"
"672","Wanda Jackson","Rockabilly"
"673","Black Country Communion","Hard rock"
"674","Glen Phillips","Alternative rock"
"675","Brooke Fraser","Pop"
"676","Scala & Kolacny Brothers","Choral"
"677","Shinobi Ninja","Rock"
"678","Of Monsters and Men","Chamber pop"
"679","Best Coast","Indie pop"
"680","Grouplove","indie pop"
"681","Fun.","Indie pop"
"682","Dirty Projectors","Indie rock"
"683","Frank Ocean","R&B"
"684","SBTRKT","UK garage"
"685","The Joy Formidable","Alternative rock"
"686","Freelance Whales","Indie rock"
"687","Neon Trees","Pop rock"
"688","Major Lazer","Electronic"
"689","Band of Skulls","Blues rock"
"690","Gotye","Indie rock"
"691","Passion Pit","Electropop"
"692","Young the Giant","Alternative rock"
"693","Santigold","Electronic"
"694","Ed Sheeran","Pop"
"695","Kimbra","Pop"
"696","Macklemore & Ryan Lewis","Hip hop"
"697","Jens Lekman",NA
"698","tUnE-yArDs","Art-pop"
"699","A$AP Rocky","Hip hop"
"700","Gary Clark Jr.","Blues rock"
"701","Aloe Blacc","Soul"
"702","Ben Howard","Folk"
"703","Jukebox the Ghost","Power pop"
"704","Bombay Bicycle Club","Indie rock"
"705","Alex Clare","Alternative rock"
"706","LIGHTS","Electropop"
"707","2 Chainz","Hip hop"
"708","Laura Marling","Folk"
"709","Glen Hansard","Folk"
"710","Chiddy Bang","Hip hop"
"711","Divine Fits","Indie rock"
"712","The All-American Rejects","Alternative rock"
"713","CocoRosie","New Weird America"
"714","Sharon Van Etten","Indie rock"
"715","Amadou & Mariam","Malian music"
"716","Beats Antique","Electronic"
"717","Eric Hutchinson","Pop"
"718","Andrew W.K.","Hard rock]"
"719","Destroy Rebuild Until God Shows","Post-hardcore"
"720","Rebirth Brass Band","Brass Band"
"721","Kathleen Edwards","Alternative country"
"722","Punch Brothers","Progressive bluegrass"
"723","Jimmy Cliff","Ska"
"724","Caspa","Dubstep"
"725","Ryan Bingham","Americana"
"726","Hank 3","Country"
"727","Allen Stone","Soul"
"728","Collie Buddz","Dancehall"
"729","Reggie Watts","Surreal comedy"
"730","Kina Grannis","AcousticPop"
"731","Adam Lambert","Pop"
"732","Communist Daughter","Indie rock"
"733","alt-J","Experimental rock"
"734","STRFKR","Indie rock"
"735","Madeon","Electropop"
"736","Toro Y Moi","Chillwave"
"737","Lianne La Havas","Soul"
"738","Walk the Moon","Indie rock"
"739","Youth Lagoon","Art pop"
"740","Jake Bugg","Indie Rock"
"741","Boyce Avenue","Pop rock"
"742","Modestep","Dubstep"
"743","Django Django","Art rock"
"744","Bad Religion","Punk rock"
"745","Twenty One Pilots","Alternative hip hop"
"746","Noah & The Whale","Indie rock"
"747","GRiZ","Electronica"
"748","Jessie Ware","Pop"
"749","Adam Ant","New wave"
"750","Michael Kiwanuka","Soul"
"751","Pinback","Indie rock"
"752","Tedeschi Trucks Band","Blues rock"
"753","The Bloody Beetroots","Electro house"
"754","Kishi Bashi","Indie pop"
"755","Jim James","Psychedelic rock"
"756","Kurt Vile","Indie rock"
"757","Johnny Marr","Alternative rock"
"758","Hot Water Music","Punk rock"
"759","Shovels & Rope","Americana"
"760","Futurebirds","Indie rock"
"761","Andrew McMahon in the Wilderness","Alternative rock"
"762","Shout Out Louds","Indie pop"
"763","Man Man","Experimental rock"
